dim,max_L,num_delays,use_delays,maxiter,optimizer_name,loss_name,tol,max_evals,symmetric_delays,constant_learning_rate,num_tests,filename,num_test_initials,print_log,vary_percent,hyper_minimize,clip_grad,clip_val,min_val,max_val,test_time,percent_converge,num_initial_values,max_learning_rate,min_learning_rate,step_size,best_loss,learning_rate
2,1,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Delayed_Rosen_2d,5,False,0.1,loss,False,1.0,-10.0,10.0,178.98,0.912,250,2.923304562828266,0.790676595881581,1200.0,2.437550990917166,
10000,1,1000,True,3000,Adam,Zakharov,1e-05,200,True,False,5,Delayed_Zak_10000d,5,False,0.1,loss,False,1.0,-10.0,10.0,2453.104,0.704,250,1.687515623059853,0.5290090927275021,1500.0,2.9471750600518784e+16,
1000,1,1000,True,3000,Adam,Zakharov,1e-05,200,True,False,5,Delayed_Zak_1000d,5,False,0.1,loss,False,1.0,-10.0,10.0,475.809,0.996,250,3.86815531390641,0.402673861372832,1600.0,1007280428.0849184,
100,1,1000,True,3000,Adam,Zakharov,1e-05,200,True,False,5,Delayed_Zak_100d,5,False,0.1,loss,False,1.0,-10.0,10.0,267.481,0.984,250,2.162055298740481,0.246527044417273,300.0,4287.607391118902,
10,1,1000,True,3000,Adam,Zakharov,1e-05,200,True,False,5,Delayed_Zak_10d,5,False,0.1,loss,False,1.0,-10.0,10.0,373.696,0.212,250,2.858407358537467,0.392882344688682,1000.0,160.2621218607451,
2,1,1000,True,3000,Adam,Zakharov,1e-05,200,True,False,5,Delayed_Zak_2d,5,False,0.1,loss,False,1.0,-10.0,10.0,81.769,1.0,250,1.907867671824372,0.7673654190914261,700.0,0.09044491794431,
10000,1,1000,False,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rosen_10000d,5,False,0.1,loss,False,1.0,-10.0,10.0,2218.991,0.02,250,3.026639541808994,0.2360054790056,1300.0,26346.327772842345,
1000,1,1000,False,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rosen_1000d,5,False,0.1,loss,False,1.0,-10.0,10.0,420.46,0.024,250,2.4192802123626582,0.8232406213130331,300.0,2432.7196262329458,
100,1,1000,False,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rosen_100d,5,False,0.1,loss,False,1.0,-10.0,10.0,277.264,0.004,250,2.771949555423631,0.691905250055975,2300.0,209.5140046019341,
10,1,1000,False,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rosen_10d,5,False,0.1,loss,False,1.0,-10.0,10.0,254.897,0.092,250,3.071387840320604,0.504032955014844,1100.0,5.05359313537984,
2,1,1000,False,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rosen_2d,5,False,0.1,loss,False,1.0,-10.0,10.0,244.296,0.508,250,3.306693853398262,0.447218968129089,1000.0,0.3659728393864,
10000,1,1000,False,3000,Adam,Zakharov,1e-05,200,True,False,5,Zak_10000d,5,False,0.1,loss,False,1.0,-10.0,10.0,2167.315,0.62,250,3.964755196861506,0.453163992094758,300.0,1.4596822084480952e+18,
1000,1,1000,False,3000,Adam,Zakharov,1e-05,200,True,False,5,Zak_1000d,5,False,0.1,loss,False,1.0,-10.0,10.0,382.563,0.932,250,2.119887417305071,0.8782995104119171,700.0,130925790463.75122,
100,1,1000,False,3000,Adam,Zakharov,1e-05,200,True,False,5,Zak_100d,5,False,0.1,loss,False,1.0,-10.0,10.0,183.874,0.992,250,2.355477139839949,0.083627399418135,500.0,37725.96603635483,
10,1,1000,False,3000,Adam,Zakharov,1e-05,200,True,False,5,Zak_10d,5,False,0.1,loss,False,1.0,-10.0,10.0,302.732,0.232,250,3.451057840297344,0.870162271210356,2000.0,138.53746297352106,
2,1,1000,False,3000,Adam,Zakharov,1e-05,200,True,False,5,Zak_2d,5,False,0.1,loss,False,1.0,-10.0,10.0,78.175,1.0,250,2.353162732120344,0.76672809111338,1000.0,1.6317577483694794e-07,
